title,company,description,url,date,location
Lead Data Engineer,Open Architects,"Open Architects (OA) seeks a Lead Data Engineer to strategically enhance our ETL processes and data connectors, enabling reliable, sustainable, and scalable integration with diverse data systems. Reporting directly to OAâs Director of Technology, you will guide the development of our data engineering strategy, drive key architectural decisions, and build pipelines to extract customer data. Our ideal candidate is an experienced Python developer with a complementary DevOps skillset that allows them to make informed decisions.OA supports school districts, municipalities, and education non-profits with custom-built visualizations and data tools that empower leaders to make informed decisions. In our ninth year, OA provides a collaborative and inclusive environment driven by a deep commitment to our clients and the students they serve, and we eagerly get into the trenches to help solve our clientsâ problems. We are also a learning organization that embraces the messiness of the work and has fun along the way. We take our work seriously but not ourselves.Role & ResponsibilitiesLead and implement strategic improvements to OAâs ETL infrastructure and processes.Build and maintain robust data connectors to dozens of systems, ensuring reliability, scalability, and sustainability.Monitor data pipeline performance, proactively troubleshooting and resolving issues to maintain data integrity and system uptime.Collaborate with district IT departments to address and resolve technical issues beyond client service capabilities.Develop internal documentation, guidelines, and best practices to support growth and onboarding.Influence platform and technology decisions to improve pipeline resilience and transparency.QualificationsRequired Technical Skills and Experience4+ years of experience as a data engineer with Python as the primary programming languageStrong DevOps skills in a Linux environment, including CI/CD, Git, and containerization tools such as DockerExperience with data pipeline orchestration and management technologies (e.g., Docker, Airflow, Kubernetes)Proven ability to establish and document technical standards and operational best practices.Bachelorâs degree requiredRequired Personal Skills and ExperienceHighly self-motivated and able to structure independent work effectively in a fully remote environment.Exceptional communication skills, capable of translating complex technical concepts clearlyfor internal stakeholders and clients.Enthusiastic collaborator, comfortable working within a flexible and flat organizational structure.Commitment to maintaining strict confidentiality and ethical standards when handlingsensitive client data.Experience effectively engaging with diverse stakeholders, especially education andmunicipal leaders.Preferred Skills and ExperienceFamiliarity with educational technology (EdTech) or experience working with student datasystems.Availability during standard U.S. Eastern Time business hours.Please mention the word **STRONG** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-lead-data-engineer-open-architects-1093295,2025-06-02T22:32:54+00:00,
Data Analyst Canada Wide,Newton,"Say hello to Newton! We're changing how Canadians trade crypto. Our goal? To make financial freedom something everyone can achieve. We give our customers the tools and knowledge they need to navigate the crypto world.At Newton, you'll work with a remote team spread across Canada, but you'll never feel distant. Ready to be part of something meaningful? Join a team thatâs all about pushing boundaries and getting things done.Some of our values:â Customer first mindset - Commitment to integrity and transparency to our users!â A dynamic team fueled by collaboration uniting our strengths to overcome any obstacles. Together we build success. We persevere, adapt, and come back stronger, turning obstacles into opportunities.â We strive for continuous improvement and embrace creativity and encourage experimentation. We push the boundaries of whatâs possible and continuously explore new ideas, technologies, and solutions.Role Overview:We are searching for a Data Analyst, a role focused on turning business data into actionable insights. Your mission is to empower teams to make smarter, faster decisions through clear analysis and automated reporting. Responsibilities will include:â Identifying key metrics and building standardized reports to track business performance â Investigate and resolve data inconsistencies and irregularitiesâ Aggregating and analyzing data across departments to uncover trends and patternsâ Performing investigative analysis on large/diverse datasetsâ Assisting with analyzing results of experiments/pilots, new methods, data sources, and making actionable recommendationsâ Leading analytics on projects of varying sizes and complexity. This includes report automation, data visualization, gathering and documenting tool implementation requirements, split testing, and conducting ad hoc analysis and data mining. â Managing and delivering on business research initiatives â Collaborating with cross-functional teams to resolve data discrepancies and address inquiries efficientlyWho you are:â Proficiency in SQL, Python and Excelâ Experience in using analytics to effectively drive strategic and operational decision making â Able to work independently â Strong attention to detail and accuracyâ Excellent communication and interpersonal skills\n\nAt Newton, we celebrate our inclusive work environment and welcome members of all backgrounds and perspectives to apply. We are committed to providing reasonable accommodations and will work with you to meet your needs. If you are a person with a disability and require assistance during the application process, please donât hesitate to reach out!Please mention the word **GUTSY** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-data-analyst-canada-wide-newton-1093292,2025-06-02T13:00:11+00:00,"Toronto, Ontario"
Data Scientist,The Voleon Group,"Voleon is a technology company that applies state-of-the-art AI and machine learning techniques to real-world problems in finance. For more than a decade, we have led our industry and worked at the frontier of applying AI/ML to investment management. We have become a multibillion-dollar asset manager, and we have ambitious goals for the future. Your colleagues will include internationally recognized experts in artificial intelligence and machine learning research as well as highly experienced finance and technology professionals. In addition to our enriching and collegial working environment, we offer highly competitive compensation and benefits packages, technology talks by our experts, a beautiful modern office, daily catered lunches, and more.The Voleon Group is forming a new team to help advance our data-driven investment initiatives. As a Data Scientist, you will be responsible for harvesting insights from a complex array of data. Your role will involve data curation, analysis, interpretation, visualization, and communication of your findings to members of the research staff and executive leadership. This role is a means to make a difference: as a machine learning company, data insights are essential to our business. \nResponsibilitiesDesign and implement systems to ensure data correctness and monitor data health in data stores and live feedsProactively identify abnormal production behavior and communicate them clearly to relevant stakeholdersPerform extemporaneous analyses on research and production trading systems with leadership Harness financial expertise and statistical analysis to gain actionable insights into our production trading and research systemsDesign and implement analysis pipelines that automate those analyses found to be valuable for ongoing monitoringRequirements1+ years of applied end-to-end industry experience, including internships working with complex datasets, including curation, querying, aggregation, exploratory data analysis, and visualizationExperience using statistical methods to analyze data, identify patterns, conduct root cause analysis, discover insights, and recommend solutionsAbility to frame and answer questions mathematicallyAbility to infer useful forward-looking directions from results of retrospective analysisFluency in managing, processing, and visualizing tabular data using a combination of SQL, Pandas, and RBasic software development skills and experience with bash, linux/unix, and gitAbility to refine requirements from ambiguous requests to produce reports demonstrating excellence in communicationBachelorâs degree in a quantitative discipline (statistics, biostatistics, data science, computer science, or a related field)PreferredMasterâs degree in a quantitative disciplinePrior industry experience or displayed interest in finance, such as related academic projects, coursework in financial engineering, or industry internships Experience developing in a production-facing environment and familiarity with standard concepts and tooling, e.g., CI/CD, git, Airflow\nCompensationThe base salary range for this position is $150,000 to $190,000 in the location(s) of this posting. Individual salaries are determined through a variety of factors, including, but not limited to, education, experience, knowledge, skills, and geography. Base salary does not include other forms of total compensation, such as bonus compensation and other benefits. Our benefits package includes medical, dental, and vision coverage, life and AD&D insurance, 20 days of paid time off, 9 sick days, and a 401(k) plan with a company match.âFriends of Voleonâ Candidate Referral ProgramIf you have a great candidate in mind for this role and would like to have the potential to earn $7,500 if your referred candidate is successfully hired and employed by The Voleon Group, please use this form to submit your referral. For more details regarding eligibility, terms, and conditions, please make sure to review the Voleon Referral Bonus Program. Equal Opportunity EmployerThe Voleon Group is an Equal Opportunity employer. Applicants are considered without regard to race, color, religion, creed, national origin, age, sex, gender, marital status, sexual orientation and identity, genetic information, veteran status, citizenship, or any other factors prohibited by local, state, or federal law. Vaccination RequirementThe Voleon Group has implemented a policy requiring all employees who will be entering our worksite, including new hires, to be fully vaccinated with the COVID-19 vaccine. This policy also applies to remote employees, as such employees will be asked to visit our offices from time to time. To the extent permitted by applicable law, proof of vaccination will be required as a condition of employment. This policy is part of Voleonâs ongoing efforts to ensure the safety and well-being of our employees and community, and to support public health efforts.#LI-MD1Please mention the word **PARAMOUNT** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-data-scientist-the-voleon-group-1093286,2025-06-01T05:00:02+00:00,United States or Remote
Data Analyst,Foodsmart,"About us:Foodsmart is the leading telenutrition and foodcare solution, backed by a robust network of Registered Dietitians. Our platform is designed to foster healthier food choices, drive lasting behavior change, and deliver long-term health outcomes. Through our highly personalized, digital platform, we guide our 2.2 million membersâincluding those in employer-sponsored health plans, regional and national Medicaid managed care organizations, Medicare Advantage plans, and commercial insurersâon a tailored journey to eating well while saving time and money.Foodsmart seamlessly integrates dietary assessments and nutrition counseling with online food ordering and cost-effective meal planning for the entire family, optimizing ingredients both at home and on the go. We partner with national and regional retailers across the U.S., many of whom accept SNAP/EBT, making healthier food more accessible. Additionally, we assist members with SNAP enrollment and management, providing tangible access to nutritious food.In 2024, Foodsmart secured a $200 million investment from TPGâs Rise Fund, which supports entrepreneurs dedicated to achieving the United Nationsâ Sustainable Development Goals. This investment will help us expand our reach, particularly to low-income workers who are disproportionately affected by diet-related diseases. At Foodsmart, our mission is to make nutritious food accessible and affordable for everyone, regardless of economic status. We are committed to a set of core values that shape our culture and work environment:Measured: We make data-driven, truth-seeking decisions.Impactful: We are fueled by achieving our mission and vision.Collaborative: We help each other be better and create a positive environment.Hungry: We maintain a healthy growth mindset, seeking to overcome challenges with courage.Joyful: We take joy in each other, our work, and the privilege of doing this work.Whether you're a dietitian, a commercial leader, or a technologist, working at Foodsmart means being part of a team that is passionate, supportive, and driven by a shared purpose. Join us in transforming the way people access and enjoy healthy food.Learn more at www.foodsmart.comAbout the role:The Data Analyst will join our dynamic team responsible for managing and interpreting data to provide actionable insights to our operations and product teams. The Data Analyst is responsible for developing, implementing, and maintaining cutting-edge analytic systems, conducting data analysis to derive business insights, and designing scalable data models and pipelines. This role also involves collaborating closely with stakeholders from various departments to prioritize business and information needs, and presenting data-driven recommendations to the executive team. \nYou will:Own the development, implementation, and maintenance of advanced analytic systems, simplifying intricate problems through streamlined frameworks.Conduct thorough data analysis to uncover valuable business insights, trends, and growth opportunities.Design, build, and manage scalable data models and pipelines within our data warehouse.Identify, interpret, and analyze patterns and trends within complex datasets.Collaborate closely with stakeholders in Marketing, Sales, Product, and Engineering to prioritize data-driven decision-making.You are:Proactive and act as an advocate for your customers Take pride in your work and approach every project with enthusiasm and excitement Experienced in data warehousing, data design, and data analysis. Knowledgeable of healthcare industry standards and compliance regulations.You have:Accumulated 2+ years of experience in a data analyst role, preferably within healthcare or startup environments.Proficiency in SQL and other data manipulation languages.Experience with business intelligence tools such as Tableau, Looker, or Power BI.Proficiency in at least one scripting language, with a preference for Python or R.A self-starting attitude, capable of thriving in a fast-paced, agile environment.Familiarity with ETL (Extract, Transform, Load) processes.Understanding of machine learning algorithms and statistical models.\n$103,000 - $135,000 a yearRole: Data AnalystLocation: RemoteBase Salary Range: $103,000/yr to $135,000/yr + equity + benefitsOur salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries at our headquarters in San Francisco, California. Individual pay is determined by work location, job-related skills, experience, and relevant education or training.\nAbout our benefits and perks:Remote-First CompanyUnlimited PTOHealthcare Coverage (Medical, Dental, Vision)401k, bonus, & stock optionsGym reimbursement Please mention the word **WOWED** and tag RMzguNjguMTM0LjE5NA== when applying to show you read the job post completely (#RMzguNjguMTM0LjE5NA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",https://remoteOK.com/remote-jobs/remote-data-analyst-foodsmart-1093207,2025-05-21T00:00:09+00:00,US
Game Data Analyst,athinkingape,"At A Thinking Ape, data is a core part of how we build and grow successful games. We've invested heavily in self-service analytics tools, enabling teams across the studio to independently access, explore, and act on data. The Data and Player Insights team powers this capability—building and maintaining data infrastructure, guiding data literacy, and leading deeper analyses that inform strategic decisions. As a Game Data Analyst, you’ll play a key role in this ecosystem—uncovering insights, shaping product strategy, and optimizing the performance of our mobile games. Through advanced analytics and collaborative problem-solving, you’ll help enhance the player experience and drive the continued success of our live game portfolio in a fast-moving, competitive market. Your responsibilities will fall into two core areas: Empowering self-service analytics by building tools, dashboards, and models that enable teams to access and use data independently. Conducting advanced analyses to answer complex questions, inform decision-making, and optimize game and player outcomes. You’ll also support studio-wide data literacy efforts. Team: This role sits on our Data and Player Insights Team and reports directly to our Department Lead. Key Responsibilities Self-Service Tools & Dashboards: Develop and enhance analytics tools and dashboards to enable studio-wide access to actionable insights. Data Analysis & Insights: Analyze player behavior and game performance using advanced techniques to generate insights that enhance player engagement and game success. Experimentation & A/B Testing: Support the design and execution of A/B tests to generate actionable insights for game development and live operations. Data Literacy & Best Practices: Promote data fluency across the studio by mentoring data consumers, establishing best practices, and advocating for data quality and consistency. Cross-Functional Collaboration: Work closely with designers and live ops managers to evaluate feature and event performance, define success metrics, and guide decisions from planning through launch. Data Pipeline Integration: Partner with data engineers to support the maintenance and evolution of data models and pipelines that power our analytics ecosystem. Predictive Modeling: Build and validate predictive models to forecast key metrics such as LTV and churn, supporting long-term strategic planning. Qualifications Experience: 3-5+ years of experience in game data analysis, including data preprocessing, exploration, and visualization to drive decision-making. We value depth of insight and demonstrated impact over exact years of experience. Education: Bachelor’s degree in a quantitative field such as Statistics, Mathematics, Economics, or Computer Science; advanced degree preferred. Technical Skills: Strong proficiency in SQL and experience working with large-scale datasets; familiarity with Python is a plus. Expertise in data visualization tools (e.g., Tableau, Power BI, Looker) and applied statistical techniques is required. Looker experience is strongly preferred. Leadership & Communication: Proven ability to lead analytical projects and collaborate effectively across departments. Strong communication skills for presenting insights to both technical and non-technical audiences. Gaming Knowledge: Passion for games and a strong understanding of mobile gaming trends, core mechanics, player behavior, and game KPIs. Familiarity with mobile paid marketing is a plus. Analytical Thinking: Strong problem-solving skills with the ability to translate complex data into clear, actionable insights and strategic recommendations. What’s in it for you At ATA you’re offered a flexible, safe, inclusive environment in which you have the autonomy to do your best work, surrounded by a strong team and with the encouragement of supportive leadership that doesn’t just care what you’re doing, but how you’re doing. You’re trusted, respected, listened to, cared for and valued. You take on thought-provoking projects and tackle fun problems alongside people who are equally invested in making meaningful contributions and seeing new ideas come to life. You know how your work aligns with the company’s goals. Your career is given the space and resources to progress. You accomplish things that make you proud. You are compensated competitively, your health and wellbeing are top priorities and you enjoy plenty of perks. You build communities, take ownership, have wonderful arguments, let the best ideas win and keep growing. You don’t just work for ATA, you are an integral part of ATA. Our commitment to inclusion We build communities. To do this to the best of our abilities, we need a workforce that reflects the diverse player communities we serve. We believe a variety of perspectives and experiences allows us to make better decisions and understand the needs of our players. We work hard to create an environment where everyone, from any background, can do their best work and feel like they belong at ATA. Please consider applying even if you don't meet every qualification and let us know if you require any accommodations or support during the recruitment process. We’re working remotely; we’ll supply the equipment you need to do your work and to set up your work space. We have a flexible work schedule, three weeks of vacation, flexible sick days, and a generous health benefits package. We are open to candidates outside of Canada, with the requirement to work in the Pacific time zone. Compensation is determined by role, level and location. For candidates located in British Columbia, the salary range for this role is CAD $75,000 to $95,000 annually. See our careers page or our short video to learn more about who we are and why you should join our team. Join our team and play a key role in shaping the future of mobile gaming! If you're passionate about data analytics and gaming, we want to hear from you. Apply now to embark on an exciting journey with us.",https://remotive.com/remote-jobs/data/game-data-analyst-2017798,2025-06-09 12:50:56,"USA, Canada"
Senior Data Scientist,BaxEnergy,"We’re looking for a senior Data Scientist to join our growing team and tackle high-impact problems in the renewable energy space. You’ll lead end-to-end projects that apply machine learning and statistical modelling to real-world challenges such as forecasting power demand, predicting equipment failures, or optimizing energy usage. Rather than looking for a domain expert in energy renewables, what we need is someone who deeply understands data, knows how to build solid models, and can write clean Python code that’s production ready. If you’ve got a strong foundation in statistics, experience with time series data, and a passion for solving meaningful problems, we’d love to meet you. This role is fully remote. What You Will Do Lead data science initiatives and take responsibility for their execution. Analyse time series data and develop models for forecasting, anomaly detection, and optimization. Work closely with product, engineering, and domain experts to build features that get used. Bring clarity to messy data, test hypotheses, and make informed, modelling choices. Communicate your findings clearly to both technical and non-technical teammates. Contribute to best practices around reproducibility, testing, and model monitoring. About You Smart and gets things done You are a great data scientist and can contribute to creating great data science teams Strong background in statistics and machine learning theory. You know more than just how to fit a model, and you understand why it works. Solid experience working with time series data and building predictive models. Expert Python skills so that your code is efficient, maintainable, and ready for production including hands-on experience with standard data science tools (pandas, NumPy, scikit-learn, etc.). Solid remote work experience and student mindset You have a 4-hour overlap with CET time zones You’re eligible to obtain a visa and can travel to Italy within three months of hiring Why Join Us We are a remote-first company, and this is a fully remote position We build amazing teams with brilliant, happy, and motivated contributors Earn Euro-level salaries with over 30 days of vacation, sick pay, and other benefits The role is a permanent full-time position We invest in people and understand great things happen if we do Be part of our amazing company trajectory over the next five years Travel to Sicily, Italy once a year for a fully paid company retreat We support and encourage diversity in our workplace. Applications are welcome from all backgrounds without regard to race, ethnicity, gender, orientation, age, or religion. Please apply even if you don't meet all the criteria listed. ",https://remotive.com/remote-jobs/software-dev/senior-data-scientist-2017883,2025-06-09 10:29:12,European timezones
Senior Data Engineer,DICK'S Sporting Goods," This description is a summary of our understanding of the job description. Click on 'Apply' button to find out more. Role Description The Senior Data Engineer on the Athlete team will support a wide array of data sources, inbound and outbound. They collaborate with vendors to build and maintain ingress and egress data flows. This data supports marketing functions that do not necessarily relate to others, so the ability to go deep and broad quickly is crucial to this role. Break down ambiguously defined goals into stories and sprints for collaboration and execution. Experience with PII data security and handling, Identity Resolution, and conforming disparate datasets into logically uniform datasets. Provide guidance and feedback to achieve team goals. Experience with Python, Databricks, SQL, data modeling, refactoring codebase, cataloging/data governance, and agile development is a plus. Partner with Data Analysts to determine data requirements to support the organization's business needs. Perform business/data analysis and may coordinate solutions within a product team. Support solutions that ensure enterprise systems remain best-in-class. Learn to lead teams and solutions. Data Movement: Drive the design distribution of basic data infrastructure resources and create physical modeling and design services to tune database applications for optimum performance. Data Architecture: Drive the modeling of highly complex data structures that allow for easy consumption and analysis. Data Set Exploration and Documentation: Drive the analysis, documentation, and articulation of complex datasets while establishing quality and the lineage of the data. Functional/Technical Requirements: Support the collection of functional requirements using document analysis and workflow analysis. Program/Portfolio Management Support: Contribute to work within an established program management plan to achieve specific goals. Analysis of Current vs. Future State: Support and contribute to the documentation of Current vs. Future state processes. Infrastructure and Network Development and Maintenance: Design and select data platforms to design solutions in line with industry best practice. Information Security and Compliance: Create and implement best practices for safely and securely moving data. Technical Developments Recommendation: Research and suggest ways to optimize solutions to better meet user and/or business needs. Operational Compliance: Identify instances of non-compliance with the organization's policies and procedures. Ongoing Learning and Development: Develop own and junior team member capabilities through training and coaching. Qualifications Bachelor's Degree or equivalent level preferred General Experience: 3 to 6 years of experience Managerial Experience: Basic experience of coordinating the work of others (4 to 6 months) Requirements Experience with data modeling and pipeline development Ability to partner with various teams including data scientists, sales/marketing, and software engineering Benefits Targeted Pay Range: $83,000.00 - $138,200.00 Competitive total rewards package including incentive, equity, and benefits Generous suite of benefits ",https://remotive.com/remote-jobs/software-dev/senior-data-engineer-2018622,2025-06-09 08:50:25,USA
Data Analyst,Valsoft Corporation Inc.,"We are looking for a Data Analyst to join our team and support data sourcing, curation, analysis, and quality assurance to deliver actionable insights for our clients. This role is ideal for someone who thrives in a fast-paced, collaborative environment, and is eager to tackle complex data challenges with curiosity and precision. The Data Analyst will be responsible for gathering business requirements, acquiring and manipulating large datasets, and ensuring data integrity throughout. This position requires strong analytical thinking, attention to detail, and the ability to work both independently and collaboratively. Requirements Personal Qualities We’re seeking someone who is: Organized and deadline-driven A self-starter who works well independently Collaborative and a strong team player Naturally curious with a “detective mindset” Technically agile and eager to learn new tools Committed to high-quality service delivery Comfortable in a multidisciplinary, fast-paced environment Responsibilities Research scientific, clinical trial, and healthcare literature/databases Conduct web searches (e.g., blogs, forums, news feeds) Clean, validate, and curate data to ensure accuracy and consistency Identify and implement improvements to data curation processes Deliver high-quality results according to project timelines Perform data mining and transformation tasks Communicate progress, issues, and results to key stakeholders Maintain and update internal documentation and SOPs Support training sessions and assist with user onboarding Skills needed Proficiency in Microsoft Office (especially Excel) AI-oriented mindset with the ability to leverage relevant tools/technologies Strong analytical and problem-solving capabilities High attention to detail and methodical approach to data quality Excellent verbal and written communication in English Strong organizational skills and ability to manage competing priorities Experience working across cultures, time zones, and functions Understanding of conference schedules, abstract submissions, and planning timelines Knowledge of biotech and/or pharmaceutical clinical development processes Qualifications Needed Master’s degree in Pharmaceutical Sciences, Biomedical Sciences, Molecular Biology, or related Life Sciences field Experience working with large datasets Familiarity with databases and/or query languages (e.g., SQL) Proficient in English (spoken and written) About the company Valsoft was founded in 2015 in Montreal, Canada. Our focus is to acquire and grow vertical market software businesses that provide mission-critical solutions in their respective niche markets. So far, we have acquired over 100+ businesses, and we have over 3,000 employees across 20+ countries. In 2023, Valsoft was named as one of the Best Workplaces in the Financial Services Industry by Great Place to Work®. ",https://remotive.com/remote-jobs/data/data-analyst-2017807,2025-06-08 10:50:55,Spain
Member Operations Analyst,Garner Health,"Healthcare quality is declining and soaring costs are crushing American families and businesses. At Garner, we’ve developed a revolutionary approach to evaluating doctor performance and a unique incentive model that's reshaping the healthcare economy to ensure everyone can afford high quality care. By providing organizations relief from surging healthcare costs, we've experienced rapid adoption in the market and have more than doubled our revenue annually over the last 5 years, becoming the fastest growing company in our space. To support our continued growth, we're expanding our team by over 50% each year, seeking exceptional talent to shape our unique, award winning culture (for example, USA Today Top Workplaces 2025) designed to cultivate teamwork, trust, autonomy, exceptional results, and individual growth that creates an inflection point in your career.About the role: We are seeking a Member Operations Analyst to be the face of Garner for users of a new product. In this role, you will serve as the front line of support for our members, acting as a trusted guide in helping them understand and navigate their healthcare benefits. You’ll engage directly with members through phone, chat, and email to help them access the highest-quality care at the lowest possible cost. This role requires more than just excellent service — we’re looking for someone who can thrive in an evolving environment and is comfortable with complexity. You’ll need to balance professionalism and empathy with strong attention to detail and the ability to interpret nuanced benefit information. This role will report directly to the VP of Product and will be part of a cross-functional team of operators, account managers, and product developers working to bring a new product to market. We are currently looking for candidates who can work Monday through Friday, 9:00 AM to 5:00 PM Eastern Time. This position is fully remote. What you will do: Deliver exceptional service to our members on complex tickets via phone, chat, and email, offering education and guidance to help them understand their benefit and find the right provider In partnership with the VP of Product, define what a great member experience looks like for this new product, and iterating as we learn more about our clients and members Answer detailed process questions by team members and ensuring all issues are resolved in a timely manner Identify, plan, and implement improvement initiatives to improve the member experience Relay member feedback to product and operations teams to improve Garner’s solution Maintain detail-oriented working knowledge of employer health benefits and insurance Be a subject matter expert in member-facing issues What you will bring to the team: A minimum of 2 years relevant experience with increasing levels of responsibility in a customer support or operations role A passion for helping people solve their problems, with an ability to think creatively and empathetically while staying calm under pressure A desire to work in a rapidly evolving startup environment A high level of process-orientation, digital organization, and resourcefulness A willingness to “roll up your sleeves” and do whatever is necessary to ensure company success Experience working in a rapidly evolving startup environment A desire to be a part of our mission to improve the U.S. healthcare system Compensation Transparency: The base salary range for this position is $65,000 - $100,000. Individual compensation for this role will depend on various factors, including qualifications, skills, and applicable laws. In addition to base compensation, this role is eligible to participate in our equity incentive and competitive benefits plans, including but not limited to: flexible PTO, Medical/Dental/Vision plan options, 401(k), Teladoc Health and more. Fraud and Security Notice: Please be aware of recent job scam attempts. Our recruiters use getgarner.com email domain exclusively. If you have been contacted by someone claiming to be a Garner recruiter or a hiring manager from a different domain about a potential job, please report it to law enforcement here and to candidateprotection@getgarner.com. Equal Employment Opportunity: Garner Health is proud to be an Equal Employment Opportunity employer and values diversity in the workplace. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, reproductive health decisions, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, genetic information, political views or activity, or other applicable legally protected characteristics. Garner Health is committed to providing accommodations for qualified individuals with disabilities in our recruiting process. If you need assistance or an accommodation due to a disability, you may contact us at talent@getgarner.com. ",https://remotive.com/remote-jobs/customer-support/member-operations-analyst-2017842,2025-06-08 10:50:21,USA
Principal Data Engineer,The Nuclear Company,"The Nuclear Company is the fastest growing startup in the nuclear and energy space creating a never before seen fleet-scale approach to building nuclear reactors. Through its design-once, build-many approach and coalition building across communities, regulators, and financial stakeholders, The Nuclear Company is committed to delivering safe and reliable electricity at the lowest cost, while catalyzing the nuclear industry toward rapid development in America and globally. About the role: The Nuclear Company is a cutting-edge tech startup rapidly transforming the nuclear energy sector through innovation, digitalization, and a commitment to safe, sustainable power. We are building the future of clean energy, and reliable, high-quality data is at the core of everything we do. We are seeking an exceptional and visionary Principal Data Engineer to lead the design, development, and optimization of our foundational data infrastructure. As the Principal Data Engineer, you will be a foundational member of our engineering team, responsible for architecting, building, and maintaining scalable, robust, and secure data pipelines and data platforms. You will play a critical role in enabling data-driven decision-making across all facets of our business, from engineering and operations to corporate development and regulatory compliance. This role requires deep technical expertise, a strategic mindset, and a commitment to data integrity and security paramount in the nuclear energy industry. This role reports into the VP, Software Engineering. Responsibilities: Data Architecture & Strategy: Lead the design and implementation of our end-to-end data architecture, including data warehousing, data lakes, real-time streaming, and batch processing solutions. Define data governance strategies, standards, and best practices to ensure data quality, security, and compliance with industry regulations. Evaluate and recommend new data technologies, tools, and platforms to support our evolving business needs and growth trajectory. Data Pipeline Development & Optimization: Design, build, and optimize highly scalable and reliable ETL/ELT pipelines to ingest, transform, and load diverse datasets from various sources (e.g., sensor data, operational systems, financial platforms, third-party APIs). Implement robust data validation, monitoring, and alerting mechanisms to ensure data pipeline health and data quality. Troubleshoot and resolve complex data-related issues, optimizing data flows for performance and efficiency. Data Platform Management: Oversee the management and maintenance of our cloud-based data platforms (e.g., data warehouses, data lakes, streaming services), ensuring optimal performance, security, and cost-effectiveness. Develop and implement data security protocols, access controls, and encryption strategies to protect sensitive nuclear-related data. Ensure data systems support auditability and traceability required for regulatory compliance. Technical Leadership & Mentorship: Serve as a subject matter expert in data engineering, providing technical guidance and mentorship to other engineers. Champion data best practices, code quality, and scalable engineering principles across the organization. Lead complex data projects from conceptualization to deployment, ensuring successful execution and adoption. Cross-Functional Collaboration: Work closely with data scientists, machine learning engineers, software engineers, business analysts, and leadership to understand data requirements and deliver actionable insights. Collaborate with cybersecurity and regulatory teams to ensure data infrastructure meets stringent nuclear industry standards. Education: Bachelor's degree in Computer Science, Data Engineering, Information Systems, or a related quantitative field. Experience: 8+ years of progressive experience in data engineering, with a significant focus on building scalable data pipelines and platforms. Proven experience in a lead or principal data engineering role, involving architectural decision-making. Expertise in cloud data platforms (AWS, Azure, or GCP, with strong preference for [mention specific cloud your company uses]). Proficiency in big data technologies (e.g., Spark, Kafka, Snowflake, Databricks, Redshift, BigQuery). Strong programming skills in Python, Scala, or Java, with a focus on data manipulation and pipeline development. Expertise in SQL and experience with various relational and NoSQL databases. Experience with data governance, data quality, and metadata management. Understanding of data security best practices. Skills: Data Architecture & Design ETL/ELT Development Cloud Data Platforms (AWS/Azure/GCP) SQL & Database Management Big Data Technologies Python/Scala/Java Data Governance & Quality Excellent Problem-Solving & Analytical Skills Strong Communication & Collaboration Benefits: Competitive compensation packages 401k with company match Medical, dental, vision plans Generous vacation policy, plus holidays Annual company retreats Estimated Starting Salary Range: The estimated starting salary range for this role is $198,000 - $228,000 annually less applicable withholdings and deductions, paid on a semi-monthly basis. The actual salary offered may vary based on relevant factors as determined in the Company’s discretion, which may include experience, qualifications, tenure, skill set, availability of qualified candidates, geographic location, certifications held, and other criteria deemed pertinent to the particular role. EEO Statement: The Nuclear Company is an equal opportunity employer committed to fostering an environment of inclusion in the workplace. We provide equal employment opportunities to all qualified applicants and employees without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, veteran status, or any other protected characteristic. We prohibit discrimination in all aspects of employment, including hiring, promotion, demotion, transfer, compensation, and termination. ",https://remotive.com/remote-jobs/software-dev/principal-data-engineer-2017091,2025-06-07 20:50:40,USA
